muni_code,cnty_name,cnty_levy,cnty_dist_levy,adj_cnty_levy,tot_cnty_levy,cnty_txbl_full_val,full_val_tax_rate_mills,avg_eff_prop_tax_rate,avg_eff_prop_tax_pct
240100000000,Livingston,33064732.0,151657.0,447677.21875,33664064.0,5368523264.0,6.2706379890441895,0.006270637989044189,0.627063798904419
250100000000,Madison,45548036.0,80000.671875,0.0,45628036.0,6301860352.0,7.240407466888428,0.007240407466888428,0.7240407466888428
260100000000,Monroe,386335072.0,30544328.0,46881848.0,463761248.0,73312108544.0,6.32584810256958,0.00632584810256958,0.632584810256958
270100000000,Montgomery,31613008.0,68000.0625,15653.259765625,31696662.0,3880413952.0,8.168371200561523,0.008168371200561523,0.8168371200561523
280100000000,Nassau,62772592.0,947451264.0,1351715.0,1011575616.0,332956008448.0,3.038165807723999,0.003038165807723999,0.3038165807723999
360610000000,New York,,,,35311506311.0,1372240521541.0,25.7327383623287,0.0257327383623287,2.57327383623287
290100000000,Niagara,97818928.0,10008016.0,194304.90625,108021248.0,19484012544.0,5.544096946716309,0.005544096946716309,0.5544096946716309
300100000000,Oneida,80637752.0,0.0,0.0,80637752.0,17541124096.0,4.597068786621094,0.004597068786621094,0.4597068786621094
310100000000,Onondaga,146229184.0,5240773.5,22860440.0,174330400.0,44106412032.0,3.9524953365325928,0.003952495336532593,0.39524953365325927
320100000000,Ontario,83258248.0,4920.75,30696.220703125,83293864.0,14981681152.0,5.559714317321777,0.005559714317321778,0.5559714317321778
330100000000,Orange,120550208.0,1632030.125,75071.0703125,122257304.0,56308002816.0,2.171224355697632,0.0021712243556976317,0.21712243556976318
340100000000,Orleans,19684510.0,0.0,0.0,19684510.0,2709739008.0,7.2643561363220215,0.007264356136322022,0.7264356136322022
350100000000,Oswego,48206184.0,0.0,6697171.0,54903356.0,9183380480.0,5.978556156158447,0.005978556156158448,0.5978556156158448
360100000000,Otsego,14780492.0,0.0,1376.1500244140625,14781868.0,6432905728.0,2.2978522777557373,0.002297852277755737,0.22978522777557372
370100000000,Putnam,46161140.0,0.0,51170.51171875,46212308.0,19960741888.0,2.315159797668457,0.002315159797668457,0.2315159797668457
360810000000,Queens,,,,35311506311.0,1372240521541.0,25.7327383623287,0.0257327383623287,2.57327383623287
380100000000,Rensselaer,61990784.0,0.0,11305016.0,73295800.0,16666414080.0,4.397814750671387,0.004397814750671387,0.4397814750671387
360850000000,Richmond,,,,35311506311.0,1372240521541.0,25.7327383623287,0.0257327383623287,2.57327383623287
390100000000,Rockland,125501416.0,13910453.0,205267.703125,139617136.0,58175209472.0,2.39994215965271,0.00239994215965271,0.23999421596527098
410100000000,Saratoga,76675568.0,0.0,62669.4609375,76738240.0,40036593664.0,1.9167025089263916,0.0019167025089263916,0.19167025089263917
420100000000,Schenectady,71021032.0,0.0,2532858.75,73553888.0,15141870592.0,4.857648849487305,0.004857648849487304,0.48576488494873044
430100000000,Schoharie,22535624.0,0.0,5462.6201171875,22541086.0,3585668864.0,6.286438465118408,0.006286438465118408,0.6286438465118408
440100000000,Schuyler,11442712.0,110295.0,0.0,11553007.0,2544180480.0,4.540954113006592,0.004540954113006592,0.45409541130065917
450100000000,Seneca,12309606.0,0.0,0.0,12309606.0,3468740864.0,3.54872465133667,0.00354872465133667,0.354872465133667
400100000000,St. Lawrence,55729828.0,0.0,4195401.0,59925228.0,8106441216.0,7.392297744750977,0.007392297744750977,0.7392297744750977
460100000000,Steuben,43903908.0,41796.0,57973.69921875,44003676.0,8073486848.0,5.450393199920654,0.005450393199920654,0.5450393199920655
470100000000,Suffolk,59062188.0,685030656.0,99141648.0,843234496.0,497904254976.0,1.6935676336288452,0.0016935676336288451,0.16935676336288452
480100000000,Sullivan,74738520.0,0.0,2292986.5,77031504.0,15636900864.0,4.92626428604126,0.00492626428604126,0.492626428604126
490100000000,Tioga,26767600.0,0.0,13528.7802734375,26781128.0,3848696320.0,6.958493232727051,0.006958493232727051,0.6958493232727051
500100000000,Tompkins,48054732.0,0.0,0.0,48054732.0,11453158400.0,4.1957621574401855,0.0041957621574401855,0.41957621574401854
510100000000,Ulster,73974408.0,0.0,120517.21875,74094928.0,33070381056.0,2.2405221462249756,0.0022405221462249757,0.22405221462249758
520100000000,Warren,52151980.0,4363.830078125,22682.26953125,52179024.0,16283643904.0,3.2043826580047607,0.003204382658004761,0.3204382658004761
530100000000,Washington,37823528.0,622969.5625,347223.78125,38793724.0,7339489280.0,5.285616397857666,0.005285616397857666,0.5285616397857666
540100000000,Wayne,42970908.0,0.0,40871.33984375,43011780.0,8482912768.0,5.070402145385742,0.005070402145385742,0.5070402145385743
550100000000,Westchester,542112832.0,213347520.0,86714.2734375,755547072.0,236145836032.0,3.199493408203125,0.003199493408203125,0.31994934082031246
560100000000,Wyoming,28534408.0,3182053.25,28854.900390625,31745318.0,3540612352.0,8.966053009033203,0.008966053009033203,0.8966053009033202
570100000000,Yates,16986680.0,31485.900390625,11466.9599609375,17029632.0,4028682752.0,4.2270965576171875,0.004227096557617187,0.4227096557617187
